證券代號,證券名稱,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
"5222","全訊","176051","20999764","119.00","120.50","117.50","119.50","1.0000","156"
"5225","東科-KY","2248927","74405514","31.95","34.10","31.95","33.80","2.0500","1410"
"5234","達興材料","216475","13489385","64.60","64.60","60.80","61.10","-1.9000","235"
"5243","乙盛-KY","4835911","299665294","62.80","63.40","61.00","61.00","-2.0000","3294"
"5244","弘凱","46025","1017555","22.10","22.35","22.00","22.35","-0.1500","41"
"5258","虹堡","11213782","687172785","62.20","62.80","58.90","58.90","-2.2000","6227"
"5269","祥碩","1033379","650647823","615.00","648.00","615.00","616.00","-6.0000","1081"
"5283","禾聯碩","7606","772791","102.00","102.00","101.50","101.50","-0.5000","21"
"5284","jpp-KY","148337","7135316","48.30","48.60","47.65","47.80","-0.1000","150"
"5285","界霖","400370","25238700","65.00","65.10","61.70","61.70","-3.0000","362"
"5288","豐祥-KY","120453","21047502","175.00","177.00","172.00","172.00","-3.0000","93"
"5306","桂盟","96239","13716189","141.50","143.50","141.50","143.00","0.0000","168"
"5388","中磊","4914765","400892966","82.60","83.50","80.10","80.20","-2.7000","3771"
"5434","崇越","333086","49947947","149.00","150.50","149.00","150.00","1.0000","343"
"5469","瀚宇博","326349","9423232","28.75","29.10","28.70","28.75","0.0000","228"
"5471","松翰","291378","13709256","47.15","47.55","46.55","46.55","-0.3000","335"
"5484","慧友","7141","90790","12.70","12.75","12.70","12.70","0.0000","8"
"5515","建國","59538","661380","11.05","11.15","11.00","11.10","0.1000","40"
"5519","隆大","144878","2998784","20.80","20.85","20.65","20.65","-0.1500","111"
"5521","工信","391398","2517341","6.44","6.47","6.40","6.40","-0.0500","302"
"5522","遠雄","1879231","103603411","52.60","56.30","52.60","55.80","3.3000","1148"
"5525","順天","66437","1610855","24.25","24.40","24.15","24.25","-0.0500","40"
"5531","鄉林","171100","1572413","9.19","9.28","9.13","9.14","-0.0900","92"
"5533","皇鼎","168252","2818543","16.70","16.95","16.50","16.55","-0.1500","98"
"5534","長虹","190914","13686937","71.30","72.10","71.20","71.90","0.0000","175"
"5538","東明-KY","5050","223771","44.10","44.45","44.10","44.45","-0.2000","7"
"5546","永固-KY","17131","838373","49.00","49.35","48.80","48.80","-0.6500","34"
"5607","遠雄港","1095099","63838086","56.40","59.20","56.40","58.80","2.4000","719"
"5608","四維航","2165976","54083659","24.90","25.20","24.70","24.85","0.1000","1401"
"5706","鳳凰","1447745","70362179","48.85","49.95","47.60","47.60","-1.2000","1083"
"5871","中租-KY","2698824","469670248","175.50","177.50","171.50","172.00","-3.0000","2996"
"5871A","中租-KY甲特","85507","8218337","96.30","96.30","96.00","96.00","-0.3000","57"
"5876","上海商銀","5889985","276737703","47.10","47.40","46.70","46.70","-0.7500","2660"
"5880","合庫金","15001478","363190728","24.40","24.50","24.00","24.05","-0.3500","7865"
"5906","台南-KY","42000","1221650","29.10","29.80","28.60","29.80","0.7500","21"
"5907","大洋-KY","16051","221603","13.80","13.85","13.80","13.80","0.0000","15"
"6005","群益證","1560274","15807554","10.10","10.25","10.05","10.05","-0.0500","599"
"6024","群益期","81190","2811736","34.60","34.80","34.40","34.75","-0.0500","174"
"6108","競國","22006","352848","16.00","16.10","15.95","16.10","-0.1000","20"
"6112","邁達特","29750","932916","31.40","31.55","31.20","31.30","-0.0500","40"
"6115","鎰勝","127285","5199224","40.80","41.10","40.70","40.90","0.1000","87"
"6116","彩晶","14188740","173433099","12.10","12.30","12.00","12.30","0.1000","4265"
"6117","迎廣","117915","1535324","13.30","13.30","12.85","12.85","-0.3500","389"
"6120","達運","552822","5035472","9.16","9.19","9.04","9.07","-0.0800","375"
"6128","上福","53033","1454390","27.70","27.70","27.20","27.35","-0.2000","39"
"6133","金橋","3730874","76807944","20.45","21.00","20.25","20.30","-0.2500","1802"
"6136","富爾特","45527","799670","17.60","17.75","17.55","17.65","0.0500","42"
"6139","亞翔","228761","6637918","28.95","29.20","28.80","28.90","-0.1000","160"
"6141","柏承","239960","4454661","19.20","19.20","18.05","18.40","0.4500","153"
